Electronic Equipment Installers and Repairers, Motor Vehicles|9000|43690|40670
Audiovisual Equipment Installers and Repairers|21540|46120|44790
Security and Fire Alarm Systems Installers|77420|52170|48320
Aircraft Mechanics and Service Technicians|125440|69470|65380
Automotive Body and Related Repairers|137300|50660|47270
Automotive Glass Installers and Repairers|16230|40690|37920
Automotive Service Technicians and Mechanics|629780|47990|46880
Bus and Truck Mechanics and Diesel Engine Specialists|261420|53020|48690
Farm Equipment Mechanics and Service Technicians|35030|47250|46910
Mobile Heavy Equipment Mechanics, Except Engines|145230|57280|58030
Rail Car Repairers|22800|60400|60250
Motorboat Mechanics and Service Technicians|23080|46660|46730
Motorcycle Mechanics|15020|41970|38170
Outdoor Power Equipment and Other Small Engine Mechanics|34700|40360|37540
Bicycle Repairers|14760|34360|34690
Recreational Vehicle Service Technicians|16030|44930|43560
Tire Repairers and Changers|93180|32520|29580
Mechanical Door Repairers|23300|45520|45060
Control and Valve Installers and Repairers, Except Mechanical Door|44870|67310|62760
Heating, Air Conditioning, and Refrigeration Mechanics and Installers|356960|54690|48630
Home Appliance Repairers|28120|45340|44320
Industrial Machinery Mechanics|373090|58780|59840
Maintenance Workers, Machinery|57660|53570|48900
Millwrights|39240|61260|60330
Refractory Materials Repairers, Except Brickmasons|660|54760|54250
Electrical Power-Line Installers and Repairers|123940|79060|78310
Telecommunications Line Installers and Repairers|101530|62250|60190
Camera and Photographic Equipment Repairers|2340|44260|38200
Medical Equipment Repairers|53400|56420|49910
Musical Instrument Repairers and Tuners|5710|39740|37160
Watch and Clock Repairers|1970|45460|44250
Precision Instrument and Equipment Repairers, All Other|11110|59070|57670
Maintenance and Repair Workers, General|1416740|44920|43180
Wind Turbine Service Technicians|10100|58580|56260
Coin, Vending, and Amusement Machine Servicers and Repairers|27540|42010|39040
Commercial Divers|2670|82010|60360
Locksmiths and Safe Repairers|15380|47810|46910
Manufactured Building and Mobile Home Installers|3530|35830|36360
Riggers|17980|52100|48130
Signal and Track Switch Repairers|8090|74220|80570
Helpers--Installation, Maintenance, and Repair Workers|88480|35090|33100
Installation, Maintenance, and Repair Workers, All Other|164070|45380|42570
First-Line Supervisors of Production and Operating Workers|629420|67330|61790
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers|33320|55380|49480
Coil Winders, Tapers, and Finishers|11090|42460|38360
Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers|271920|39630|37460
Engine and Other Machine Assemblers|45990|48110|47440
Structural Metal Fabricators and Fitters|61070|45730|45480
Fiberglass Laminators and Fabricators|17380|40360|37650
Timing Device Assemblers and Adjusters|560|44670|37780
Miscellaneous Assemblers and Fabricators|1328550|37780|36590
Bakers|181800|32300|29750
Butchers and Meat Cutters|145930|35670|36050
Meat, Poultry, and Fish Cutters and Trimmers|132100|31680|29730
Slaughterers and Meat Packers|86450|32010|29900
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders|21050|36280|35480
Food Batchmakers|155240|36190|35780
Food Cooking Machine Operators and Tenders|26710|35430|35890
Food Processing Workers, All Other|46360|33600|31890
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic|59490|40520|37750
Forging Machine Setters, Operators, and Tenders, Metal and Plastic|11500|44410|44520
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic|31650|46210|46210
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic|179630|40000|37630
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic|6810|43240|38580
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic|67750|40030|37550
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic|19690|44270|44240
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic|14920|47100|46850
Machinists|333220|49020|47730
Metal-Refining Furnace Operators and Tenders|15540|46440|46690
Pourers and Casters, Metal|6570|44910|45850
Model Makers, Metal and Plastic|3690|59080|55630
Patternmakers, Metal and Plastic|2090|49840|48090
Foundry Mold and Coremakers|13610|39980|37710
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic|163210|37530|36370
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic|134880|40830|37630
Tool and Die Makers|63630|56150|57000
Welders, Cutters, Solderers, and Brazers|397600|48290|47010
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders|29980|42950|38580
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic|14540|41560|38450
Layout Workers, Metal and Plastic|6840|52340|51690
Plating Machine Setters, Operators, and Tenders, Metal and Plastic|32310|38580|37200
Tool Grinders, Filers, and Sharpeners|6100|43660|38430
Metal Workers and Plastic Workers, All Other|18740|39480|36990
Prepress Technicians and Workers|25840|43800|42610
Printing Press Operators|145290|41120|37770
Print Binding and Finishing Workers|40810|37060|36590
Laundry and Dry-Cleaning Workers|157400|27830|28350
Pressers, Textile, Garment, and Related Materials|26910|28110|28680
Sewing Machine Operators|116220|30880|29690
Shoe and Leather Workers and Repairers|5620|34890|31450
Shoe Machine Operators and Tenders|3610|29920|28560
Sewers, Hand|4170|31350|29930
Tailors, Dressmakers, and Custom Sewers|17270|35430|31420
Textile Bleaching and Dyeing Machine Operators and Tenders|6240|31940|29930
Textile Cutting Machine Setters, Operators, and Tenders|11970|33100|29960
Textile Knitting and Weaving Machine Setters, Operators, and Tenders|16330|33640|33990
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders|22160|33050|30020
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers|14040|40600|37550
Fabric and Apparel Patternmakers|3220|64070|58650
Upholsterers|28020|38220|37420
Textile, Apparel, and Furnishings Workers, All Other|12750|32840|29750
Cabinetmakers and Bench Carpenters|93070|40070|37540
Furniture Finishers|16300|37310|36580
Model Makers, Wood|340|60040|60780
Patternmakers, Wood|210|51020|46920
Sawing Machine Setters, Operators, and Tenders, Wood|45350|35280|35340
Woodworking Machine Setters, Operators, and Tenders, Except Sawing|67210|35560|36090
Woodworkers, All Other|7910|36080|35610
Nuclear Power Reactor Operators|4820|111220|104260
Power Distributors and Dispatchers|9660|95520|98530
Power Plant Operators|28960|83740|80850
Stationary Engineers and Boiler Operators|29820|70510|63500
Water and Wastewater Treatment Plant and System Operators|121150|52320|47880
Chemical Plant and System Operators|21740|69020|70200
Gas Plant Operators|15110|76970|77850
Petroleum Pump System Operators, Refinery Operators, and Gaugers|34230|80500|79540
Plant and System Operators, All Other|15420|55480|50250
Chemical Equipment Operators and Tenders|106170|52450|48090
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders|48620|47060|46030
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders|31800|42790|38760
Grinding and Polishing Workers, Hand|15680|35990|35670
Mixing and Blending Machine Setters, Operators, and Tenders|108440|42490|38420
Cutters and Trimmers, Hand|7920|34330|30230
Cutting and Slicing Machine Setters, Operators, and Tenders|55930|40010|37810
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders|56570|40050|37660
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders|14180|43910|43710
Inspectors, Testers, Sorters, Samplers, and Weighers|551380|44810|38580
Jewelers and Precious Stone and Metal Workers|24350|47090|46640
Dental Laboratory Technicians|34150|47320|45770
Medical Appliance Technicians|15300|46320|45280
Ophthalmic Laboratory Technicians|18930|38910|37270
Packaging and Filling Machine Operators and Tenders|358640|36750|35960
Painting, Coating, and Decorating Workers|11850|38250|37330
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders|145410|43900|39130
Semiconductor Processing Technicians|24020|45910|39870
Photographic Process Workers and Processing Machine Operators|5740|40300|36590
Computer Numerically Controlled Tool Operators|157840|46240|46640
Computer Numerically Controlled Tool Programmers|25800|62360|60780
Adhesive Bonding Machine Operators and Tenders|12510|38580|37630
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders|13580|35820|35090
Cooling and Freezing Equipment Operators and Tenders|7500|42910|40390
Etchers and Engravers|7110|36970|36590
Molders, Shapers, and Casters, Except Metal and Plastic|38420|39020|37500
Paper Goods Machine Setters, Operators, and Tenders|87480|44180|44820
Tire Builders|17240|47840|47940
Helpers--Production Workers|202860|32910|30000
Production Workers, All Other|204500|36230|32930
Aircraft Cargo Handling Supervisors|8590|62080|53540
First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors|549260|58580|54850
Airline Pilots, Copilots, and Flight Engineers|81310|198190|202180
Commercial Pilots|42770|115080|99640
Air Traffic Controllers|21230|127920|129750
Airfield Operations Specialists|12610|54360|47880
Flight Attendants|96900|62280|61640
Ambulance Drivers and Attendants, Except Emergency Medical Technicians|11710|31060|29120
Driver/Sales Workers|477020|31970|29280
Heavy and Tractor-Trailer Truck Drivers|1903420|50340|48310
Light Truck Drivers|1010040|42630|38280
Bus Drivers, School|361420|38750|37910
Bus Drivers, Transit and Intercity|145720|51310|48620
Shuttle Drivers and Chauffeurs|175660|32570|30000
Taxi Drivers|13950|30050|29310
Motor Vehicle Operators, All Other|48690|36410|30600
Locomotive Engineers|38980|72940|79740
Rail Yard Engineers, Dinkey Operators, and Hostlers|4460|58070|61090
Railroad Brake, Signal, and Switch Operators and Locomotive Firers|16200|63050|63840
Railroad Conductors and Yardmasters|48030|66990|63960
Subway and Streetcar Operators|10310|71520|81180
Rail Transportation Workers, All Other|1140|54140|47590
Sailors and Marine Oilers|26610|57800|46720
Captains, Mates, and Pilots of Water Vessels|33490|98330|81640
Motorboat Operators|2740|44410|38670
Ship Engineers|7650|96910|82410
Bridge and Lock Tenders|4040|44760|45390
Parking Attendants|91160|29210|29240
Automotive and Watercraft Service Attendants|111480|29960|29330
Aircraft Service Attendants|12170|38640|36390
Traffic Technicians|7770|53210|48610
Transportation Inspectors|25070|77620|79770
Passenger Attendants|21240|34380|30470
Transportation Workers, All Other|13750|39990|36880
Conveyor Operators and Tenders|28650|37010|36420
Crane and Tower Operators|43400|65270|62240
Dredge Operators|1650|50530|46210
Hoist and Winch Operators|2610|58450|52300
Industrial Truck and Tractor Operators|758290|40950|38380
Cleaners of Vehicles and Equipment|351960|30550|29280
Laborers and Freight, Stock, and Material Movers, Hand|2729010|34950|31230
Machine Feeders and Offbearers|60880|36660|37010
Packers and Packagers, Hand|585270|30950|29940
Stockers and Order Fillers|2451430|33020|30110
Gas Compressor and Gas Pumping Station Operators|2910|67130|70720
Pump Operators, Except Wellhead Pumpers|10600|54400|49580
Wellhead Pumpers|16040|67170|63740
Refuse and Recyclable Material Collectors|126050|42780|38500
Tank Car, Truck, and Ship Loaders|12090|55330|49390
Material Moving Workers, All Other|22470|40190|36150
